"Rec_id","Zast_id","Name_short","Zkratka","Typ","Sloupky","Zapsano"
"31030515192",690,"Solidarita","Sol","K","01=0382M,02=0383M,",0
"31030515193",691,"Podkovářská","Pod",,"01=0384,02=0385,",0
"31030515194",692,"Sparta","Spr",,"01=0386,02=0387,",0
"31030515195",694,"Spojovací","Spj","S","01=0388MN,02=0528MV,",0
"31030515196",697,"Spořilov","Spř","S","01=0389MN,02=0529MV,",0
"31030515197",703,"Staroměstská","Sta","M","01=0392M,02=0390M,",0
"31030515198",713,"Strašnická","Str","M","01=0395M,02=0396M,",0
"31030515199",714,"Strážní","Stž","K","01=0398M,02=0397M,",0
"31030515200",717,"Strossmayer.nám.","StN",,"01=0401M,02=0402M,04=0547M,05=0399M,12=0782,",0
"31030515201",718,"Březiněveská","Bře",,"01=0405M,02=0406M,03=0658,04=0407VF,06=0704VF,",0
"31030515202",724,"Svatoplukova","Sva","K","01=0408M,02=0409M,",0
"31030515203",734,"Špejchar","Špj","S","01=0512N,02=0562V,03=0647N,13=0791N,",0
"31030515204",739,"Štěpánská","Ště","K","01=0412M,02=0413M,",0
"31030515205",740,"Štěpničná","Štč",,"01=0414,02=0415,",0
"31030515206",744,"Šumavská","Šum",,"01=0416M,02=0417M,",0
"31030515207",751,"Teplárna Michle","TMi",,"01=0418,02=0419,",0
"31030515208",755,"Nademlejnská","Nml",,"01=0420M,02=0421M,",0
"31030515209",757,"Thákurova","Thá",,"01=0425,02=0424,",0
"31030515210",758,"Křižíkova","Kři","M","01=0165,02=0166,",0
"31030515211",765,"Trojská","Trj","K","01=0426M,02=0427M,",0
"31030515212",775,"U Elektry","uEl",,"01=0430,02=0431,",0
"31030515213",778,"U Kaštanu","uKa",,"01=0432,02=0433,",0
"31030515214",779,"U Kříže","uKř",,"01=0434,02=0435,",0
"31030515215",805,"U Zvonu","uZv",,"01=0437,02=0436,",0
"31030515216",807,"Ústřed. dílny DP","ÚsD","S","01=0443MN,02=0530V,03=0648N,04=0649V,07=0775N,08=0776V,",0
"31030515217",809,"Újezd","Újz",,"01=0441M,02=0442M,04=0440M,",0
"31030515218",816,"Urxova","Urx",,"01=0438M,02=0439M,",0
"31030515219",837,"Vápenka","Váp",,"01=0447,02=0446,03=0513N,04=0508VF,05=0659,06=0509VF,",0
"31030515220",841,"Veletržní","Vel",,"01=0448,02=0449,",0
"31030515221",844,"Větrník","Vět",,"01=0451,02=0450,",0
"31030515222",848,"Voz. Strašnice","*Sa",,"01=0478,02=0477,03=0580O,06=0391,",0
"31030515223",849,"Vinohradské hř.","ViH",,"01=0459,02=0458,",0
"31030515224",850,"Vinohradská trž.","VTr",,"01=0455,02=0454,",0
"31030515225",851,"Vinohradská vod.","ViV",,"01=0456,02=0457,",0
"31030515226",854,"Karlínské nám.","KnN",,"01=0131,02=0132,",0
"31030515227",858,"Vojenská nem.","VjN",,"01=0469,02=0468,",0
"31030515228",861,"Vosmíkových","Vos",,"01=0470,02=0471,03=0049,04=0050,",0
"31030515229",864,"Voz. Kobylisy","*Ko","S","01=0472MN,02=0531V,03=0650N,04=0566O,05=0558O,",0
"31030515230",865,"Voz. Motol","*Mo","K","01=0474M,02=0473M,",0
"31030515231",866,"Voz. Pankrác","*Pa","S","01=0750MN,02=0475V,04=0651V,06=0598V,",0
"31030515232",867,"Voz. Střešovice","*Se",,"01=0480M,02=0479M,03=0652M,04=0758,",0
"31030515233",868,"Voz. Vokovice","*Vo",,"01=0482,02=0481M,03=0557N,",0
"31030515234",870,"Vychovatelna","Vch","K","01=0485M,02=0486M,",0
"31030515235",872,"Vypich","Vyp","KS","01=0487M,02=0488M,04=0678VF,",0
"31030515236",873,"Poštovská","Pšá",,"01=0048,02=0047,",0
"31030515237",876,"Albertov","Alb",,"01=0001M,02=0002M,04=0525M,",0
"31030515238",878,"Výtoň","Výt",,"01=0495,02=0494,",0
"31030515239",889,"Zahradní Město","ZMě",,"01=0497,02=0496,",0
"31030515240",900,"Zborov-Str.div.","Zbo",,"01=0498,02=0499,",0
"31030515241",901,"Zborovská","Zbá",,"01=0501,02=0500,",0
"31030515242",906,"Zelená","Zel",,"03=0712M,04=0713M,",0
"31030515243",914,"Zlíchov","Zlí",,"01=0503,02=0502,",0
"31030515244",921,"Želivského","Žel","KM","01=0507M,02=0506M,",0
"31030515245",929,"Pol. Modřany","PkM",,"01=0613,02=0612,",0
"31030515246",942,"Tusarova","Tus",,"03=0429,",0
"31030515247",943,"Sídl. Červ. Vrch","SČV",,"01=0369,02=0368,",0
"31030515248",945,"Levského","Lev","S","01=0621MN,02=0620VF,",0
"31030515249",946,"Sídl. Modřany","SMo","S","01=0619,02=0618M,",0
"31030515250",947,"Modřanská rokle","MRo",,"01=0617,02=0616,",0
"31030515251",948,"U Libuš. potoka","uLP",,"01=0615,02=0614,",0
"31030515252",952,"Těšnov","Těš",,"01=0422,02=0423,",0
"31030515253",957,"Radlická","Rad","S","03=0709MN,04=0711MV,",0
"31030515254",994,"Břevnovský kláš.","BřK",,"01=0033,02=0034,",0
"31030515255",997,"Lazarská","Laz","C","01=0180,02=0181,06=0677,",0
"31030515256",1006,"Čechova čtvrť","ČeČ",,"01=0611,02=0610,",0
"31030515257",1019,"Sídl. Barrandov","SBa",,"01=0698MN,02=0699M,",0
"31030515258",1030,"Pol. Barrandov","PkB",,"01=0696M,02=0697M,",0
"31030515259",1040,"Anděl/Plzeňská","AnP","KM","01=0006M,02=0005M,03=0794,04=0795,05=0593,",0
"31030515260",1044,"Braunova","Bra",,"01=0705,02=0706,",0
"31030515261",1045,"Vinice","Vnc",,"04=0453,",0
"31030515262",1049,"K Barrandovu","KBa",,"03=0692M,04=0693M,",0
"31030515263",1050,"Chaplinovo nám.","ChN",,"03=0694M,04=0695M,",0
"31030515264",1052,"Špitálská","Špi",,"01=0411,02=0410,",0
"31030515265",1053,"Voz. Hloubětín","*Hl",,"01=0550O,02=0549O,",0
"31030515266",1071,"Depo Hostivař","DHs","M","11=0107,12=0108,",0
"31030515267",1072,"Václavské nám.","VáN","KM","01=0444M,02=0445M,",0
"31030515268",1074,"Krejcárek","Krj","K","01=0158M,02=0157,",0
"31030515269",1075,"Ocelářská","Oce",,"01=0292,02=0293,",0
"31030515270",1091,"Novomanželé","Nma",,"01=0773,",0
"31030515271",1092,"Muz. Střešovice","MSe",,"01=0767,",0
"31030515272",1094,"Dopravní podnik","Dop",,"01=0930,",0
"31030515273",1095,"ZELENÁ JÍZDA +","ZE+",,"01=0769,",0
"31030515274",1096,"Evr.týden mobil.","Etm",,"01=0797,",0
"31030515275",1097,"Není cesty zpět","Ncz",,"01=0999,",0
"31030515276",1098,"Den otevř. dveří","Dod",,"01=0771,",0
"31030515277",1099,"NENASTUPUJTE","Nen",,"01=0988,",0
"31030515278",1100,"DP proti AIDS","DpA",,"01=0772,",0
"31030515279",1105,"NESPRáVNý K˘D","Nsk",,"01=0788,02=0789,",0
"31030515280",1108,"Nad Primaskou","nPr",,"02=0581,",0
"31030515281",1109,"Palmovka/Sokol.","Plm",,"03=0057V,06=0535,07=0536,08=0515,09=0329VF,",0
"31030515282",1111,"OC Hostivař","OCH",,"01=0670,02=0671,",0
"31030515283",1121,"Zvonařka","Zvo","S","01=0561,02=0569,",0
"31030515284",1122,"U Průhonu","uPr",,"01=0572,",0
"31030515285",1368,"Nádr. Vysočany","#Vy","M","03=0046M,08=0489M,",0
"31030515286",1997,"Újezd (lanovka)","Újz",,"01=0804M,02=0805M,",0
"31030515287",1998,"Nebozízek","Neb",,"01=0800M,02=0801M,03=0777,",0
"31030515288",1999,"Petřín","Ptn",,"01=0802M,02=0803M,",0
"31030515289",2610,"HLOUBĚTÍN Voz.","*HL","V","02=0912M,03=0913M,",0
"31030515290",2611,"HLOUBĚTÍN Depo","*HL",,"01=0911,04=0914,",0
"31030515291",2620,"KOBYLISY Voz.","*KO","V","02=0922M,03=0923M,",0
"31030515292",2621,"KOBYLISY Depo","*KO",,"01=0921,04=0924,",0
"31030515293",2627,"MYCÍ RÁM","*KO",,"07=0925,",0
"31030515294",2630,"MOTOL Voz.","*MO","V","02=0932MVF,03=0933M,",0
"31030515295",2631,"MOTOL Depo","*MO",,"01=0931,04=0934,",0
"31030515296",2640,"PANKRÁC Voz.","*PA","V","02=0592M,03=1009M,",0
"31030515297",2641,"PANKRÁC Depo","*PA",,"01=0941,04=0944,",0
"31030515298",2650,"STRAŠNICE Voz.","*SA","V","02=0952M,03=0953M,",0
"31030515299",2651,"STRAŠNICE Depo","*SA",,"01=0951,04=0954,",0
"31030515300",2660,"STŘEŠOVICE Voz.","*SE","V","01=0961,02=0962,03=0963,04=0964,",0
"31030515301",2670,"VOKOVICE Voz.","*VO","V","02=0972,03=0973M,",0
"31030515302",2671,"VOKOVICE Depo","*VO",,"01=0971,04=0974,",0
"31030515303",2680,"ŽIŽKOV Voz.","*ŽI","V","02=0982M,03=0983M,",0
"31030515304",2681,"ŽIŽKOV Depo","*ŽI",,"01=0981,04=0984,",0
"31030515305",2690,"DEPONACE","*DE","V","01=0991,02=0996M,03=0997M,04=0994,",0
"31030515306",2691,"DEPONACE hala","*DH",,"01=0792,04=0793,",0
"31030515307",2699,"DEPONACE S.BARR.","*DB","V","11=0992,13=0993M,",0
"31030515308",2900,"Bambiriáda","Bam",,"01=0760,02=0761,",0
"31030515309",5002,"Na Knížecí  /smč","nKn","MS","07=0511,08=0539,09=0551,10=0510,",0
"31030515310",5012,"U Balabenky","uBa",,"04=0548O,05=0563O,",0
"31030515311",5040,"Anděl/Nádražní","AnN","KM","03=0004M,04=0003M,",0
"31030515312",5046,"Brusnice    /obč","Brs",,"03=0542O,04=0543O,",0
"31030515313",5067,"Čechovo nám./doč","ČeN","S","01=0596,03=0597,",0
"31030515314",5068,"Čechův most /obč","ČeM",,"03=0576O,04=0040O,",0
"31030515315",5070,"Černokostel./smč","Čks","S","03=0043MN,04=0541V,06=0627V,",0
"31030515316",5100,"Vltavská    /obč","Vlt","KM","03=0464O,04=0465O,",0
"31030515317",5115,"Nádr. Holešovice","#Hš","KM","03=0253M,04=0254M,",0
"31030515318",5134,"Harfa","Har","S","03=0577N,08=0582V,",0
"31030515319",5144,"Starý Hloubětín","SHl",,"05=0090,06=0089,",0
"31030515320",5190,"I.P.Pavlova /doč","IPP",,"02=0578,",0
"31030515321",5203,"Dlážděná","Dlž",,"03=0588,04=0589,",0
"31030515322",5289,"Kotlářka    /smč","Kot","S","03=0155MN,04=0533V,05=0637N,06=0638V,",0
"31030515323",5360,"Malostranská/obč","Mls","M","03=0203O,04=0204O,",0
"31030515324",5449,"Nádraží Braník","#Br","K","01=0601M,02=0600M,",0
"31030515325",5458,"Smích. nádr./doč","Sm#",,"01=0591,02=0590,",0
"31030515326",5460,"Masaryk.nádr/doč","MaN",,"01=0559,02=0560,",0
"31030515327",5469,"Nákl.nádr.ŽI/Olš","#Ži",,"03=0265,04=0264,",0
"31030515328",5476,"Blanická","Bln",,"03=0545O,04=0546O,",0
"31030515329",5483,"Nár.divadlo/nábř","NDi","K","04=0277M,06=0276M,",0
"31030515330",5528,"Palackého n/nábř","PaN","M","07=0315M,08=0314M,",0
"31030515331",5529,"Palmovka/Na Žert","Plm","MS","02=0321M,04=0476,05=0320M,",0
"31030515332",5532,"Výstaviště","Výs",,"01=0491,02=0492,",0
"31030515333",5583,"Podolská vod./sm","PoV","S","03=0553,04=0554V,06=0532,",0
"31030515334",5618,"Radošovická /smč","Rdš","S","03=0361MN,04=0534VF,",0
"31030515335",5692,"Sparta","Spr",,"03=0757,04=0756,",0
"31030515336",5703,"Staroměstská/obč","Sta","M","07=0624O,08=0646O,",0
"31030515337",5765,"Trojská     /doč","Trj",,"01=0567,02=0568,",0
"31030515338",5878,"Výtoň       /obč","Výt",,"03=0555O,04=0556O,",0
"31030515339",5921,"Želivského/Stroj","Žel","K","03=0505M,04=0504M,",0
"31030515340",5997,"Lazarská/Spálená","Laz","C","03=0183O,04=0182O,",0
"31030515341",6249,"Stírka","Stí",,"01=0666,02=0667,",0
"31030515342",7100,"MR Barrandov","MRB",,"01=0710M,",0
"31030515343",7200,"MR Trojská 1","MRT",,"01=0720M,",0
"31030515344",7201,"MR Trojská 2","MRT",,"01=0721M,",0
"31030515345",7300,"MR Krejcárek 1","MRK",,"01=0730M,",0
"31030515346",7301,"MR Krejcárek 2","MRK",,"01=0731M,",0
"31030515347",7302,"MR Krejcárek 3","MRK",,"02=0732M,",0
"31030515348",7303,"MR Krejcárek 4","MRK",,"02=0733M,",0
"31030515349",7400,"MR Ječná 1","MRJ",,"01=0740M,",0
"31030515350",7401,"MR Ječná 2","MRJ",,"01=0741M,",0
"31030515351",7551,"Festivalová","Fst",,"01=0762,02=0763,",0
"31030515352",7700,"MR Senov. n.","MRS",,"01=0770M,",0
"31030515353",7900,"MR","MRX",,"01=0790M,",0
"31030515354",8100,"ROV 557-Vltavská","Vlt",,"01=0810M,",0
"31030515355",8110,"ROV 574-Palmovka","Plm",,"01=0811M,",0
"31030515356",8120,"ROV 540-Minská","Min",,"01=0812M,",0
"31030515357",8130,"ROV 615-Výtoň","Výt",,"01=0813M,",0
"31030515358",8140,"ROV 632-Vápenka","Váp",,"01=0814M,",0
"31030515359",8150,"ROV 650-Váp smč","Váp",,"01=0815M,",0
"31030515360",8160,"ROV 564-Harfa","Har",,"01=0816M,",0
"31030515361",8170,"ROV 552-Florenc","Flc",,"01=0817M,",0
"31030515362",8180,"ROV 603-Hlc smč","Hlc",,"01=0818M,",0
"31030515363",8190,"ROV 602-Hlc dc","Hlc",,"01=0819M,",0
"31030515364",8200,"ROV 565-Harfa o.","Hao",,"01=0820M,",0
"31030515365",8210,"ROV 505-#Sm dc","Smn",,"01=0821M,",0
"31030515366",8220,"ROV 688-Podbaba","Pod",,"01=0822M,",0
"31030515367",8230,"ROV 640-Klárov","Klr",,"01=0823M,",0
"31030515368",8240,"ROV 527-Č.most","Klr",,"01=0824M,",0
"31030515369",8250,"ROV 507-Sm# výj","Smn",,"01=0825M,",0
"31030515370",8260,"ROV 639-Vinice","Vin",,"01=0826M,",0
"31030515371",8270,"ROV 661-od Líb","Břv",,"01=0827M,",0
"31030515372",8280,"ROV 661-od Kob","Břz",,"01=0828M,",0
"31030515373",8290,"ROV 662-Břez smč","Břs",,"01=0829M,",0
"31030515374",8300,"ROV 525-ND","Nad",,"01=0830M,",0
"31030515375",8310,"ROV 570-N.B.S.DC","NbS",,"01=0831M,",0
"31030515376",8320,"ROV 680-od Laz","LaM",,"01=0832M,",0
"31030515377",8330,"ROV 681-od Mys","Mys",,"01=0833M,",0
"31030515378",8340,"ROV 669-od Hra","Hra",,"01=0834M,",0
"31030515379",8350,"ROV 675-od Spa","Spa",,"01=0835M,",0
"31030515380",8360,"ROV 690-Pod.vod.","PoV",,"01=0836M,",0
"31030515381",8370,"ROV 670-od Špej","Špj",,"01=0837M,",0
"31030515382",8380,"ROV 541-N.B.S.ZC","Nbs",,"01=0838M,",0
"31030515383",9900,"Zvláštní jízda","   ","T",,0
"31030515384",9901,"Služební jízda","   ","T",,0
"31030515385",9902,"Zkušební jízda","   ","T",,0
"31030515386",9903,"Manipul. jízda","   ","T",,0
"31030515387",9904,"Cvičná jízda","   ","T",,0
"31030515388",9905,"Přepr. invalidů","   ","T",,0
"31030515389",9906,"Technická závada","   ",,,0
"31030515390",9907,"Smluvní jízda","   ",,,0
